antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'National Road Type=National or State Highway', 'Age Group=40_to_64'})",frozenset({'Road User=Driver'}),0.0947059901080784,0.47178970507418944,0.05532148745191427,0.5841392649903289,1.238134827249934,0.010640176310064864,1.2701614998913677,0.2124542038641621
frozenset({'Speed Category=Very High'}),frozenset({'Road User=Driver'}),0.13299139036453564,0.47178970507418944,0.07693716797948343,0.5785123966942148,1.2262081823155575,0.014193199141992754,1.2532048173730013,0.21277504452023774
"frozenset({'National Road Type=National or State Highway', 'Speed Category=Very High'})",frozenset({'Road User=Driver'}),0.08719545704341454,0.47178970507418944,0.05028393478659095,0.5766806722689075,1.2223256804177698,0.00914601582426925,1.2477821359041477,0.19926219090262082
frozenset({'National Road Type=National or State Highway'}),"frozenset({'Time of Day=Day', 'Road User=Driver'})",0.29419307565488184,0.2798131525920498,0.09983513464004397,0.3393524283935243,1.2127822629134202,0.01751604267030006,1.0901225984327692,0.24858027939625277
frozenset({'Speed Category=High'}),"frozenset({'Time of Day=Night', 'Road User=Driver'})",0.3447517860413995,0.19197655248213957,0.0801428833119619,0.23246546227417642,1.210905494804131,0.013958623965673808,1.0527519060080397,0.26581029593833627
"frozenset({'Gender=Female', 'Speed Category=High'})",frozenset({'Road User=Driver'}),0.09214141784209562,0.47178970507418944,0.05110826158637113,0.5546719681908548,1.1756762859071546,0.007636889237531176,1.1861150819092976,0.16459141520650528
frozenset({'Time of Day=Day'}),"frozenset({'Gender=Female', 'Road User=Driver'})",0.5992855834401906,0.11494779263601392,0.08087561824509984,0.13495338529726425,1.174040685797236,0.011989063270064201,1.0231266064986855,0.3699411745672223
"frozenset({'National Road Type=National or State Highway', 'Time of Day=Day'})",frozenset({'Road User=Driver'}),0.18025279355193258,0.47178970507418944,0.09983513464004397,0.5538617886178863,1.1739590386585288,0.014793722331378947,1.1839611166446415,0.18076490185023844
frozenset({'National Road Type=National or State Highway'}),"frozenset({'Gender=Male', 'Road User=Driver'})",0.29419307565488184,0.3568419124381755,0.12254991756732002,0.4165628891656289,1.1673597597305791,0.017569497824563143,1.102360606856233,0.20312361186922862
frozenset({'National Road Type=National or State Highway'}),frozenset({'Road User=Driver'}),0.29419307565488184,0.47178970507418944,0.1620260120901264,0.550747198007472,1.1673573884382797,0.023228747692041002,1.175752922593003,0.2031211464508946
"frozenset({'National Road Type=National or State Highway', 'Time of Day=Night'})",frozenset({'Road User=Driver'}),0.11394028210294926,0.47178970507418944,0.062190877450082435,0.5458199356913184,1.1569136202441883,0.008435025360662055,1.162997534314528,0.15307233789124872
frozenset({'Time of Day=Day'}),frozenset({'Road User=Motorcycle rider'}),0.5992855834401906,0.18180985528485072,0.12410697930023813,0.20709154821947115,1.1390556793250306,0.01515095410067975,1.0318847565287628,0.304655350553505
frozenset({'Time of Day=Day'}),"frozenset({'Gender=Male', 'Road User=Motorcycle rider'})",0.5992855834401906,0.17429932222018685,0.11778714050192343,0.19654592694482653,1.127634487852662,0.013332069491968981,1.0276887073831686,0.2824650522106197
frozenset({'Time of Day=Day'}),"frozenset({'Road User=Passenger', 'Gender=Female'})",0.5992855834401906,0.08499725224400073,0.05742810038468584,0.0958276020174232,1.1274199987351579,0.006490472482826817,1.0119781911033643,0.282044019138756
frozenset({'Gender=Male'}),"frozenset({'Time of Day=Night', 'Road User=Driver'})",0.7384136288697564,0.19197655248213957,0.1579043780912255,0.21384271892830564,1.1139001933488746,0.016146275314983582,1.0278139845201943,0.39089765836729146
